cruise1
TRAVELPATH
ROOM_NUM,NUM_BEDS,BED_TYPE,QUALITY,IS_SMOKING,STATUS
101,1,TWIN,ECONOMY,false,NOT_RESERVED
102,1,TWIN,ECONOMY,false,NOT_RESERVED
103,1,FULL,ECONOMY,false,NOT_RESERVED
104,1,FULL,COMFORT,true,NOT_RESERVED
105,1,QUEEN,COMFORT,false,NOT_RESERVED
106,2,QUEEN,COMFORT,true,NOT_RESERVED
107,2,KING,BUSINESS,true,NOT_RESERVED
108,2,KING,BUSINESS,false,NOT_RESERVED
109,2,TWIN,BUSINESS,false,NOT_RESERVED
110,3,TWIN,EXECUTIVE,true,NOT_RESERVED
201,1,TWIN,ECONOMY,false,NOT_RESERVED
202,1,TWIN,ECONOMY,false,NOT_RESERVED
203,1,FULL,ECONOMY,false,NOT_RESERVED
204,1,FULL,COMFORT,true,NOT_RESERVED
205,2,QUEEN,COMFORT,false,NOT_RESERVED
206,2,QUEEN,COMFORT,true,NOT_RESERVED
207,2,KING,BUSINESS,true,NOT_RESERVED
208,2,KING,BUSINESS,false,NOT_RESERVED
209,2,TWIN,BUSINESS,false,NOT_RESERVED
210,3,TWIN,EXECUTIVE,true,NOT_RESERVED
301,1,TWIN,ECONOMY,false,NOT_RESERVED
302,1,TWIN,ECONOMY,false,NOT_RESERVED
303,1,FULL,ECONOMY,false,NOT_RESERVED
304,1,FULL,COMFORT,true,NOT_RESERVED
305,1,QUEEN,COMFORT,false,NOT_RESERVED
306,2,QUEEN,COMFORT,true,NOT_RESERVED
307,2,KING,BUSINESS,true,NOT_RESERVED
308,2,KING,BUSINESS,false,NOT_RESERVED
309,2,TWIN,BUSINESS,false,NOT_RESERVED
310,3,TWIN,EXECUTIVE,true,NOT_RESERVED
401,1,TWIN,ECONOMY,false,NOT_RESERVED
402,1,TWIN,ECONOMY,false,NOT_RESERVED
403,1,FULL,ECONOMY,false,NOT_RESERVED
404,1,FULL,COMFORT,true,NOT_RESERVED
405,1,QUEEN,COMFORT,false,NOT_RESERVED
406,2,QUEEN,COMFORT,true,NOT_RESERVED
407,2,KING,BUSINESS,true,NOT_RESERVED
408,2,KING,BUSINESS,false,NOT_RESERVED
409,2,TWIN,BUSINESS,false,NOT_RESERVED
410,3,TWIN,EXECUTIVE,true,NOT_RESERVED
